text,level,quantPalavras,virgula,quantStopWords,canonicas
" Aos nove anos, o norte-americano faz performances de balé, jazz, dança lírica e contemporânea com o rigor e a perfeição de um bailarino de longa carreira",1,30,3,23.333333333333332,12.903225806451612
" A diferença está na experiência: Gavin começou a dançar há apenas dois anos e, só nesse período, já ganhou cinco competições nacionais nos Estados Unidos, onde os concursos de dança mirins são tradição",1,39,3,33.33333333333333,5.128205128205128
" ""Gosto de todos os estilos, mas meu preferido é a dança contemporânea, pois me deixa livre para improvisar"", conta Gavin à ""Folhinha"" (leia mais abaixo)",1,35,3,31.428571428571427,8.571428571428571
" O pai, Scott Morales, diz que o garoto começou a dançar inspirado na irmã: ""Ele via a McKenzie praticando uma coreografia e queria imitá-la para entrar na brincadeira",1,33,2,18.181818181818183,12.121212121212121
" Não podíamos imaginar que nossos filhos teriam tanto talento""",1,11,0,27.27272727272727,0.0
 McKenzie tem 11 anos e dança desde os seis,1,10,0,40.0,0.0
 Ela já venceu três competições nacionais,1,7,0,28.57142857142857,0.0
" Entre os Morales, de Fresno (cidade de aproximadamente 500 mil habitantes, na Califórnia), a vocação para a dança nasceu mesmo dos irmãos: ninguém na família é artista",1,34,3,29.411764705882355,17.647058823529413
" O pai é vendedor e a mãe, advogada",1,10,1,10.0,0.0
" Vendo a paixão dos filhos, eles resolveram matriculá-los numa escola de dança, onde os dois treinam quatro horas todos os dias, exceto nos domingos",1,28,3,39.285714285714285,7.142857142857142
" ""As crianças querem treinar ainda mais e, para isso, estão insistindo para sair da escola e estudar em casa",1,23,2,39.130434782608695,17.391304347826086
" Minha mulher e eu ainda não decidimos"", diz Scott",1,12,1,33.33333333333333,0.0
" Educar os filhos dentro de casa não é proibido nos Estados Unidos, mas ainda causa polêmica, pelo risco de reduzir a convivência com outras crianças",1,28,2,42.857142857142854,14.285714285714285
" No Brasil, é obrigatório frequentar a escola",1,9,1,11.11111111111111,11.11111111111111
" ﻿Você já viu a emoção de receber uma carta de seu escritor favorito? Pois imagine manter uma correspondência de anos com ele, e, mais do que isso, também se tornar amigo, com direito a receber telefonemas no dia de seu aniversário",1,47,4,40.42553191489361,17.02127659574468
 Foi assim que aconteceu com dezenas de leitores do escritor Monteiro Lobato,1,13,0,38.46153846153847,23.076923076923077
 Alguém aí já ouviu falar nele?,1,9,0,33.33333333333333,0.0
" Um burburinho de línguas, sotaques e mímicas, Lado a lado, criadores de 22 países, incluindo c Brasil, apresentaram suas criaturas",2,26,5,15.384615384615385,15.384615384615385
" Eram, ao todo",2,6,1,16.666666666666664,16.666666666666664
" 350 projetos, entre engenhocas e pesquisas das mais diversas áreas do conhecimento humano",2,15,1,26.666666666666668,13.333333333333334
" Por trás do deslumbre com o divertido ""intercâmbio cultural"", dedos cruzados nas costas para conquistar um dos maiores prémios da Mostratec uma vaga na Isef, nos EUA, a feira dos sonhos de qualquer inventor",2,40,3,32.5,15.0
" Ali, meses de estudo e dedicação eram colocados finalmente, à prova por uma equipe de avaliadores",2,19,2,31.57894736842105,10.526315789473683
" ""Dá um frio na barriga, mas eles não são carrascos"", brinca Juliana, 16, que veio à feira com a ajuda de custo oferecida por sua escola, em Imperatriz (MA): RS 1000,00",2,42,6,30.952380952380953,7.142857142857142
 As passagens saíram do próprio bolso,2,7,0,28.57142857142857,14.285714285714285
" ""Os avaliadores explicam em que temos que melhorar",2,10,0,40.0,0.0
" Um deles vai até me emprestar um livro"" comenta Allan, 16",2,15,1,33.33333333333333,6.666666666666667
" Juntos, Juliana e Allan desenvolveram um ""ecoconcreto"", com PET derretido no lugar de cimento",2,19,2,26.31578947368421,10.526315789473683
" A variedade de ""soluções"" para as agruras do mundo é impressionante",2,14,0,35.714285714285715,21.428571428571427
 Encontrar alternativas para amenizar problemas ambientais foi o desafio preferido da delegação nigeriana: uma das duplas criou uma forma de produzir gás doméstico a partir do lixo orgânico,2,30,0,33.33333333333333,16.666666666666664
" Por outro lado, os paqueradores cazaques, sensação das menininhas na feira, focaram seus estudos na Matemática",2,20,3,30.0,15.0
 Um trio criou uma nova maneira de calcular a raiz quadrada de qualquer número,2,15,0,40.0,20.0
 A preocupação com o bem-estar dos portadores de necessidades especiais também permeou muitos dos trabalhos: bengala que vibra ao se aproximar de objetos e urna eletrônica para cegos ,2,31,0,32.25806451612903,12.903225806451612
 Contratempos do cotidiano nas grandes cidades foram observados e transformados em objeto de estudo por alguns alunos,2,18,0,44.44444444444444,11.11111111111111
" ""Nunca vou esquecer quando meu pai cochilou ao volante",2,12,0,16.666666666666664,0.0
""" Lembra Felipe, 18, criador dos óculos antissonolência ",2,10,2,10.0,10.0
" Satisfeito com a liberdade de invenção proporcionada pelo evento, Felipe dá a letra: ""Isso aqui é, para os espertos, uma grande preparação para o mercado de trabalho""",2,34,3,35.294117647058826,17.647058823529413
" Como resultado, em 1555, uma expedição francesa liderada por Nicolas Durand de Villegaignon iniciou um projeto de colonização na região da Baía de Guanabara chamado França Antártica",3,30,2,30.0,30.0
" Os franceses, aliados aos tamoios, construíram o Forte Coligny na Ilha de Serigipe, na entrada da baía",3,22,3,22.727272727272727,27.27272727272727
" Segundo o antropólogo brasileiro Darcy Ribeiro, os franceses se uniram às índias locais, gerando mais de mil mestiços que povoaram toda a região da Baía de Guanabara",3,31,2,32.25806451612903,22.58064516129032
" Tal pode ser a origem do atual sotaque fluminense, que é caracterizado pelo ""erre"" típico do francês e inexistente no português de Portugal e dos demais estados brasileiros, nas línguas indígenas brasileiras e nas línguas dos negros africanos",3,43,2,32.55813953488372,13.953488372093023
" Quanto à Capitania de São Tomé, apesar dos esforços do seu donatário, Pero de Góis, que construiu nela a Vila da Rainha (no local da atual cidade de São João da Barra), acabou devastada pelos índios goitacases",3,45,4,33.33333333333333,26.666666666666668
" Diante do fracasso de quase todas as capitanias hereditárias, o rei português dom João III resolveu enviar ao Brasil um governador-geral para comandar os esforços de colonização do território",3,32,1,28.125,18.75
" O terceiro desses governadores, Mem de Sá, liderou uma expedição militar contra os franceses na Capitania do Rio de Janeiro em 1560, culminando na destruição do Forte Coligny",3,33,3,36.36363636363637,18.181818181818183
" Porém os franceses sobreviventes continuaram na região, sendo necessária uma segunda expedição militar portuguesa, em 1565, liderada pelo sobrinho de Mem de Sá, Estácio de Sá e uma terceira, em 1567, liderado por Mem de Sá, para expulsar definitivamente os franceses da região",3,51,7,33.33333333333333,23.52941176470588
" No decorrer da luta, foi fundada a cidade de São Sebastião do Rio de Janeiro no sopé do Morro Cara de Cão em 1º de março de 1565 por Estácio de Sá, para servir como núcleo da resistência portuguesa",3,42,2,38.095238095238095,40.476190476190474
" Em 1567, em um combate em Uruçumirim (a atual Praia do Flamengo), Estácio de Sá foi mortalmente ferido com uma flecha envenenada",3,27,2,29.629629629629626,11.11111111111111
" Durante todos os combates, os portugueses contaram com o apoio de índios temiminós e tupiniquins",3,17,1,35.294117647058826,5.88235294117647
" Identififcação via Radio Freqüência é, relativamente, uma das mais novas tecnologias de coleta automática de dados",4,19,2,36.84210526315789,15.789473684210526
 Inicialmente surgiu como solução para sistemas de rastreamento e controle de acesso na década de 80,4,17,0,35.294117647058826,35.294117647058826
" Uma das maiores vantagens dos sistemas baseados em RFID é o fato de permitir a codificação em ambientes não favoráveis e em produtos onde o uso de código de barras, por exemplo, não é eficiente",4,38,2,39.473684210526315,10.526315789473683
" Este sistema funciona com uma antena, um transmissor e um decodificador",4,13,1,38.46153846153847,0.0
 Esses componentes interagem através de ondas eletromagnéticas transformando-as em informações capazes de ser processadas por um computadorA principal vantagem do uso de sistemas RFID é realizar a leitura sem o contato como no código de barras,4,37,0,37.83783783783784,18.91891891891892
" Você poderia, por exemplo, colocar o transmissor dentro de um produto e realizar a leitura sem ter que desempacota-lo, ou por exemplo aplica-lo em uma superfície que será posteriormente coberta de tinta ou graxa",4,38,3,42.10526315789473,5.263157894736842
" Esse sistema pode ser usado para controle de acesso, controle de tráfego de veículos, controle de bagagens em aeroportos, controle de containers e ainda em identificação de pallets",4,32,3,40.625,25.0
" O tempo de resposta é baixíssimo, tornando-se uma boa solução para processo produtivos onde se deseja capturar as informações com o transmissor em movimento",4,26,1,42.30769230769231,15.384615384615385
 Rastreamento é o processo de monitorar um objeto enquanto ele se move,4,13,0,46.15384615384615,23.076923076923077
" Hoje em dia é possível monitorar a posição ou movimento de qualquer objeto, utilizando-se de equipamentos de GPS aliados a links de comunicação",4,25,1,40.0,20.0
 O casamento GPS + comunicação é necessário pois o receptor GPS localiza sua própria posição; esta deve ser transmitida via canal de comunicação para uma central que fará efetivamente o monitoramento,4,33,0,36.36363636363637,12.121212121212121
 Esta tecnologia é comumente conhecida como AVL (Automatic Vehicle Location),4,13,0,23.076923076923077,7.6923076923076925
 GPS é um sistema de posicionamento mundial formado por uma constelação de 24 satélites que apontam a localização de qualquer corpo sobre a superfície terrestre,4,26,0,42.30769230769231,11.538461538461538
" Um aparelho receptor GPS recebe sinais desses satélites determinando sua posição exata na Terra, com precisão que pode chegar à casa dos centímetros",4,26,1,34.61538461538461,15.384615384615385
 Só em filmes e histórias em quadrinhos existem super-heróis,1,10,0,20.0,0.0
 Dois fenômenos vistos no nosso céu chamaram a atenção dos gaúchos ontem,1,13,0,30.76923076923077,7.6923076923076925
 Um deles era um círculo em torno do Sol,1,11,0,45.45454545454545,9.090909090909092
 Muita gente parou o que fazia para olhar para cima e ver o que estava acontecendo,1,17,0,47.05882352941176,17.647058823529413
 Havia pessoas que acharam até que era o fim do mundo,1,12,0,50.0,8.333333333333332
 Mas não era nada disso,1,7,0,57.14285714285714,14.285714285714285
 Acontece que ontem havia nuvens muito altas formadas por cristais de gelo,1,13,0,38.46153846153847,15.384615384615385
" A luz do Sol, ao passar por essas nuvens, se decompôs",1,15,2,26.666666666666668,13.333333333333334
" É como se ela se partisse, formando a roda que as pessoas observaram no céu",1,17,1,41.17647058823529,29.411764705882355
