text,level
" Os cientistas fazem muitas coisas boas, mas isso não quer dizer que eles estejam sempre certos. Não tem cabimento machucar animais sem necessidade, sejam eles cachorros ou camundongos. A gente precisa ficar sabendo, pelo menos. Existem leis no Brasil para dizer o que pode e não pode ser feito. Se tem quem abuse deles, é caso de polícia, não de sair invadindo tudo quanto é canil. ﻿
Instrumento de cordas amplificado eletronicamente. As vibrações nas cordas metálicas são convertidas, por meio de um ou mais captadores acoplados ao instrumento, em um sinal elétrico que é transmitido a um amplificador. Existem dois tipos principais: o de corpo oco (ou semiacústico) e o de corpo maciço; o primeiro é em geral preferido pelos músicos de jazz, o segundo pelos músicos de rock. ﻿   
A invenção do sabonete ocorreu no ano 600 a.C, pelos fenícios, que ferviam gordura de cabra com água e cinzas de madeira até obter uma mistura pastosa para limpar o corpo. O produto sólido foi criado no século VII pelos árabes. Depois, os espanhóis adicionaram azeite de oliva ao produto para perfumá-lo. Diz a lenda que antigamente os sabonetes tinham uma bula para explicar seu uso. ﻿  
Sem sombra de dúvida, a fabricação do vidro, há cerca de 5.000 anos, foi puro acaso. Espalhando na areia as brasas de uma fogueira, os homens perceberam que o calor a derretia. Voltando a esfriar, a areja derretida formava uma estranha matéria, dura como pedra, mas transparente, deixando passar a luz. Era o vidro. ﻿
É culpa dos hormônios, que perturbam o organismo da moçada nessa fase da vida. Na adolescência, tanto os garotos como as meninas começam a produzir os hormônios que realçam as diferenças sexuais. Nelas, aumenta a produção de estrógeno e progesterona. Neles, a testosterona explode, desencadeando uma série de transformações. Uma das mudanças é o crescimento da cartilagem da laringe, onde se localizam os músculos vocais que compõem a prega vocal.",1
" A solução, então, poderia estar na obtenção de álcool a partir da quebra da molécula de celulose, presente em todas as plantas. Enzimas ou bactérias geneticamente modificadas podem dar conta de processar a celulose e transformar o açúcar obtido em energia, com uma eficiência 84% maior que o álcool de cana. Lee Lynd, professor da Universidade de Dartmouth e um dos pioneiros nesse tipo de pesquisa, disse à revista Wired que “em 5 anos todas as questões que dificultam a conversão de biomassa de celulose em etanol serão resolvidas”, desde que o dinheiro seja investido em pesquisas. Em vez da cana-de-açúcar ou do milho, a matéria-prima seria a switchgrass, uma gramínea muito comum nos EUA que pode ser plantada até em terrenos rochosos, e em praticamente qualquer clima. De olho no futuro, a British Petroleum (BP), uma das bilionárias empresas européias exploradoras de petróleo, doou US$ 500 milhões a um programa de pesquisa sobre álcool vindo de celulose. Há pelo menos 20 anos a energia solar é chamada de energia do futuro. O problema é que no processo utilizado até agora – em que células semicondutoras de silício absorvem parte da luz solar – há pouco aproveitamento de energia de fato, e ela funciona melhor quando usada imediatamente (como em uma calculadora movida a luz solar, por exemplo). Por enquanto, a energia solar se mostrou inviável para produção em larga escala. As células são espessas, caras e ocupam muito espaço – além de só gerar eletricidade durante o dia. Cientistas da Universidade do Novo México (EUA) estão usando nanotecnologia para criar uma espécie de filme que têm células captadoras de energia solar que são tão finas que podem ser aplicadas como tinta, reduzindo o espaço necessário para implantação de um sistema assim. Outra tentativa, que fica pronta em 2013, é a de usinas solares na Espanha.",2
" Esses imigrantes se instalaram, principalmente, na região das atuais cidades de Americana e Santa Bárbara dOeste. Com a proclamação da república brasileira, em 1889, a Província de São Paulo mudou sua denominação para a atual: Estado de São Paulo. Em 18 de junho de 1908, desembarcou, no porto de Santos, o primeiro grupo de imigrantes japoneses que vinham para trabalhar nas lavouras de café de São Paulo. As primeiras décadas do século XX marcaram o despontar do estado como polo industrial do país. Para tal fato, cooperaram os lucros obtidos através do café, a instabilidade dos preços do produto (que motivaram a busca de uma alternativa econômica para o produto) e a abundância de mão de obra europeia qualificada, formada por imigrantes que não desejavam mais trabalhar no campo. O desenvolvimento econômico do estado no século XX, porém, não atraiu apenas imigrantes estrangeiros, mas também migrantes oriundos da Região Nordeste do país. Em 9 de julho de 1932, o estado se rebelou contra o governo inconstitucional do presidente brasileiro Getúlio Vargas, na chamada Revolução Constitucionalista de 1932. Os combates duraram quase três meses e terminaram com a rendição do estado. Ao longo do século XX, houve intensa imigração lituana para o estado, especialmente para o bairro de Vila Zelina, na cidade de São Paulo, bairro que é considerado a segunda maior colônia lituana no mundo. Em 27 de abril de 1940, foi inaugurado o Estádio Municipal Paulo Machado de Carvalho, conhecido popularmente como Pacaembu. Em 14 de julho de 1948, quinhentos imigrantes neerlandeses fundaram um núcleo de povoamento no atual município de Holambra, dedicando-se ao cultivo de flores. Na segunda metade do século XX, o perfil dos imigrantes no estado mudou: passou a se constituir de coreanos, bolivianos, peruanos e paraguaios, que vinham trabalhar em fábricas de confecções de roupas, geralmente dirigidas por árabes e descendentes. Em 19 de março de 1964, 500 000 pessoas participaram, na cidade de São Paulo, da Marcha da Família com Deus pela Liberdade, pedindo a saída do presidente brasileiro João Goulart. Treze dias depois, João Goulart foi derrubado pelo Golpe Militar de 1964. No início do século XXI, o estado sofre com o aumento da violência, motivado pelo crescimento do crime organizado.",3
" Considerando-se as diferenças de implementação, no caso do Hadoop vale a pena analisar detalhadamente o código realmente utilizado para a aplicação codice_1, ao invés de apenas um pseudo-código mais abstrado. O código apresentado a seguir foi obtido do tutorial sobre Hadoop da Yahoo! , uma fonte de consulta altamente recomendada para detalhes sobre elementos de instalação, programação e execução no Hadoop. Outra fonte que merece menção é o tutorial da Apache Software Foundation . A função codice_2 define os tipos dos pares chave/valor de entrada e saída (linha 2). Neste caso, para um arquivo texto, Hadoop entrega cada linha com uma chave que corresponde à posição (em bytes) do começo da linha (texto) em relação ao começo do arquivo, daí usar um inteiro longo. A chave produzida pelo map será uma palavra (texto) e o valor será um inteiro. Os tipos terminados em ""Writable"" são usados pelo Hadoop para lidar com a leitura e escrita dos mesmos nos arquivos do HDFS corretamente (serialização e desserialização). Outros detalhes de configuração são a definição do tipo de arquivo de saída (""OutputCollector"") que receberá os pares chave/valor do tipo indicado (linha 8). A classe ""Reporter"" é usada para gerar dados de acompanhamento da execução para o sistema. O código realmente responsável pelo processamento está entre as linhas 10 e 15: o valor recebido como entrada é transformado em um ""string"", que é dividido em ""tokens"", que são enviados para a saída com a chamada de ""output.collect"". O código do redutor, apresentado a seguir, também exige detalhes de declaração de tipos de entrada e saída, que neste caso são iguais: palavra(texto)/inteiro (linha 2). Como a função de redução recebe uma lista de valores, o segundo tipo é um iterador sobre a lista de valores associados a cada chave (linha 4). Os outros elementos da definição são semelhantes ao caso do ""map"". O núcleo de processamento está entre as linhas 7 e 11 nesse caso: o ""loop"" itera sobre todos os valores recebidos para cada palavra (todos valendo um, nesse caso, já que não foi definido um ""combiner"") e o valor final da contagem para cada palavra é lançado com um ""output.collect"".",4
" Por isso, vamos dar meia-volta, passar por Vênus e aproveitar para dar uma olhada de longe na Terra. Quinto maior planeta do Sistema Solar, a Terra vista do espaço é uma esfera azul com manchas marrons e verdes (que são os continentes). Ops, aí vem a Lua, o único satélite da Terra. Melhor seguir adiante. Chegamos ao ""planeta vermelho"": Marte, o quarto planeta mais próximo do Sol e que, junto com os outros três, integra o grupo dos planetas rochosos do Sistema Solar. Assim como a Terra tem seu satélite, a Lua, Marte também não está desacompanhado: possui dois pequenos satélites de formas irregulares, com nomes engraçados: Fobos e Deimos. No século 19, os astrônomos acreditavam que Marte possuía sinais de vida, como marcas parecidas com canais de água e manchas escuras semelhantes a vegetação. Hoje se sabe que as manchas de ""vegetação"" eram áreas de concentração da poeira vermelha, cor de tijolo, que cobre a maior parte do planeta. Mas, em relação à água, esses astrônomos estavam certos: em junho de 2.000, cientistas descobriram que existe mesmo água em Marte! Embora não tenham encontrado nenhuma evidência de ""vida marciana"", os pesquisadores dizem que o planeta tem as condições necessárias para a existência de seres vivos. E, em agosto de 2003, Marte passou ""raspando"" aqui na Terra! Em 60 mil anos, essa foi a ocasião em que o planeta vermelho chegou mais perto da gente. Confira no Arquivo do Jornal do Canal! O próximo planeta que encontramos pela frente é Júpiter. É o primeiro dos planetas gasosos, ao lado de Saturno, Urano e Netuno. Existem algumas características comuns a esses quatro planetas: são formados por elementos leves (diferente dos planetas rochosos, compostos de rochas e metais), possuem vários satélites e são bem grandes. Júpiter é o maior dos planetas, ""apenas"" mil vezes menor que o Sol, e possui vários anéis e satélites. Como sua rotação é muito rápida, formam-se fascinantes estruturas de nuvens.",1
"Curiosidades. Com o advento da Revolução Industrial, a partir da segunda metade do século XVIII, observamos que uma verdadeira enxurrada de invenções tomou conta do meio científico daquela época. Afinal de contas, aprimorar alguma máquina ou criar uma engenhoca de benefícios revolucionários significava a glória social e financeira de qualquer estudioso daquela época. Em consequência, vários cientistas passaram a disputar ferrenhamente a autoria de alguns inventos. Um dos casos mais interessantes que retrataram essa situação aconteceu com relação à criação e o desenvolvimento da lâmpada incandescente. Desde os finais do século XVIII, vários homens tentaram obter uma fonte de iluminação que pudesse substituir a fraca luz produzida pelas velas e outros produtos combustíveis. No ano de 1802, temos um dos primeiros registros de um protótipo de lâmpada e no decorrer deste mesmo século algumas outras dezenas dessa mesma tentativa. Contudo, no final do XIX, foi o inventor Thomas Alva Edison que conseguiu resolver esse desafio com uma lâmpada feita por meio de um de carvão a vácuo que conseguia uma boa iluminação durante um período maior de tempo. Muito consciente de toda a repercussão que sua experiência poderia causar, Edison patenteou a nova descoberta e fundou uma empresa que fabricaria e venderia em larga escala o seu modelo de lâmpada incandescente. Algum tempo depois, talvez notando a lucratividade que o produto teria, uma empresa rival passou a fabricar um modelo de lâmpada bastante semelhante àquele que exigiu horas e mais horas de estudo e experimento por parte de Thomas Edison. Inconformado com a situação, o estudioso norte-americano abriu um processo judicial contra a empresa que tentou lucrar à custa de um trabalho alheio. Para provar que estava sendo prejudicado pela deslealdade de um concorrente comercial, Edison contou com o auxílio de um assistente que apresentou uma antiga caixa com vinte e três lâmpadas semelhante às que eram comercializadas por seu patrão. Com isso, Thomas Edison não só provou a autoria e o plágio das lâmpadas incandescentes, bem como atraiu o investimento de grandes magnatas da época que deram origem à famosa marca de eletroeletrônicos “General Electric”. Sem dúvida, podemos afirmar que este episódio foi bem mais do que uma simples curiosidade da vida deste inventor. Ao gastar tempo concebendo este e outros mais inventos, Edison sedimentava os novos tempos que se desenhavam com a Revolução Industrial. A aproximação entre Ciência e Indústria passou a conjugar um binômio que permite compreender como somos, ainda hoje, inundados por novidades que não parecem ter um limite. 
",2
"História da Contabilidade/A Contabilidade na Idade Antiga
Os primeiros vestígios de atividade contábil situam-se por volta de 2030 d.C., em Uruk, cidade da antiga Mesopotâmia, no território atual do Iraque. Uruk era um centro da civilização sumeriana.
Esses primeiros registros contábeis constituíam-se em fichas de barro, guardadas em receptáculos de barro, que eram utilizadas na contagem do patrimônio. Por exemplo, uma ficha de barro poderia representar um boi. Se esse boi fosse transferido para outra pastagem ou fosse emprestado, a sua ficha seria igualmente transferida para um outro receptáculo de barro, registrando dessa forma o evento ocorrido e auxiliando o controle do patrimônio por parte do proprietário. Dessa forma, um único evento contábil (por exemplo, um empréstimo de um boi) envolveria dois receptáculos de barro: um, representando o estoque de bois do dono do boi, forneceria uma ficha e outro, representando o direito do dono do boi sobre a pessoa que estava tomando o boi emprestado, receberia esta ficha. Isto seria um duplo registro da transação, ou em outras palavras, um lançamento de partida dobrada.
Após a criação das fichas de barro para o controle da contabilidade, houve a criação de tábuas com escritos cuneiformes, para a contabilização de pão, cerveja, materiais e trabalho escravo, em Uruk e em Ur, também na Suméria. Dessa forma, a invenção da escrita pelo homem está intimamente ligada ao surgimento da contabilidade.
O Antigo Egito também contribuiu com grandes avanços na ciência contábil, principalmente devido à necessidade do governo de organizar a arrecadação de impostos. Os antigos egípcios inovaram ao efetuar os registros contábeis utilizando valores monetários, no caso o ""shat"" de ouro e prata.
Na Antiga Grécia, a burocracia da cidade de Micenas mantinha arquivos que registravam, em placas de barro, lançamentos de impostos, propriedade territorial, reservas agrícolas, inventários de escravos, de cavalos, de carros de guerra e de peças desses carros. A escrita utilizada era a ""linear b"". Com o desenvolvimento da democracia grega, os governantes eleitos passaram a ter que prestar contas de como utilizavam os recursos públicos, através de demonstrações contábeis inscritas em pedra.
Os antigos romanos se preocupavam em registrar cuidadosamente o seu patrimônio pessoal, utilizando tábuas de cera gravadas com estiletes pontiagudos para rascunhos, que em seguida eram transcritos para papiros ou pergaminhos. De alguns destes escritos, denominados ""ratio"", surgiu o livro razão atual. A nível de administração governamental, os romanos tinham a figura do ""contador-geral do estado"", que controlava as finanças imperiais e que era um dos mais importantes funcionários da máquina estatal.

",3
" Além disso, é importante manter em mente que a comunicação entre unidades em um mesmo ""rack"" pode se dar a uma velocidade maior que entre máquinas de ""racks"" diferentes, uma vez que a capacidade dos ""links"" que ligam os ""switches"" TOR ao ""backbone"" é quase sempre menor que a capacidade agregada das máquinas em um rack. Por exemplo, um ""rack"" pode ter de 20 a 40 máquinas, cada uma com pelo menos uma interface Ethernet Gigabit. Usualmente, a conexão dos TORs para o ""backbone"" não passará de quatro ""links"" de 1 Gbps ou, no máximo, um ""link"" de 10 Gbps. Para tornar as coisas ainda mais desafiadoras, por serem equipamentos semelhantes e sem recursos especiais para tolerância a falhas, qualquer elemento (computadores e ""switches"") pode falhar a qualquer instante. De fato, dado o grande número de equipamentos normalmente agrupados em um ""datacenter"", as chances de alguma falha ocorrer é relativamente alta. Qualquer solução de armazenamento e processamento nesse caso deve ser capaz de lidar com falhas de forma transparente para o usuário. Considerando-se essa arquitetura, para garantir o melhor desempenho durante o processamento, dados devem ser distribuídos entre os discos das diversas máquinas de forma que possam ser lidos em paralelo, para serem processados também em paralelo. Apesar de algumas soluções mais simples deixarem a tarefa de organizar os dados dessa forma a cabo do usuário, idealmente essa funcionalidade deve ser oferecida por um sistema de armazenamento distribuído. Historicamente, sistemas de arquivo paralelos  foram desenvolvidos para esse fim no contexto de sistema de processamento de alto desempenho (HPC). Entretanto, no contexto de dados massivos, observou-se que os padrões de acesso aos dados tendem a ser mais simples que nos ambientes de HPC e soluções particulares têm se mostrado mais adequadas nesse contexto . O modelo mais adotado para esse fim tem sido o modelo proposto pelo Google File System (GFS)  e também implementado pelo Hadoop File System (HDFS) . No Google File System, arquivos são escritos sequencialmente quando criados, ou dados são acrescentados sequencialmente ao final de um arquivo já existente (""append"").",4
"﻿Oswaldo Gonçalves Cruz nasceu no dia 5 de agosto de 1872. Foi o primeiro dos seis filhos de Bento Gonçalves Cruz e Amália Taborda de Bulhões, que levavam uma vida tranquila na pequena cidade de São Luís do Paraitinga, São Paulo. Quando o menino completou cinco anos, a família se mudou para o Rio de Janeiro.
Bento era médico, e na capital havia mais chances de conseguir bons empregos. Homem de valores firmes, prezava pela ordem e pela disciplina. Deu para os filhos uma criação bastante rigorosa. Certa vez, Oswaldo estava no bonde com a namorada Emília e, brincalhão que era, cortou um pedaço do vestido da senhora sentada no banco da frente para oferecer à amada. Seu pai, assim que soube da história, obrigou o filho a ir à casa da vítima, pedir desculpas e consertar a roupa.
Com apenas 15 anos, idade em que a maioria dos meninos começava o curso secundário (atual ensino médio), Oswaldo ingressou na Faculdade de Medicina do Rio de Janeiro. Não gostou muito da parte clínica, preferiu dedicar-se à pesquisa. Em novembro de 1892, formou-se doutor, no mesmo dia da morte de seu pai.
No ano seguinte, Oswaldo casou com Emília, com quem teve seis filhos. A ajuda do sogro, um rico comerciante português, possibilitou que realizasse, três anos mais tarde, seu grande sonho: estagiar no Instituto Pasteur, na França, onde estavam os grandes cientistas da época. Malas prontas, embarcou com toda a família rumo a Paris. Lá, estudou, pesquisou, e até frequentou uma fábrica de vidros para laboratórios!
De volta ao Brasil em 1899, Oswaldo teve que se virar para ganhar a vida. Acumulou diversos empregos, o que era comum entre os médicos. Mas ele era realmente diferente, o que dava para ver até nos trajes que usava. Mesmo com todo o calor do Rio, continuava coberto por pesadas roupas que trouxe da Europa. Ganhou o engraçado apelido de ""Doutor Fotógrafo"", por carregar uma pasta parecida com a que esses profissionais usavam.
A situação em seu país era grave. Uma violenta epidemia de peste bubônica assolava o porto de Santos, em São Paulo. As autoridades sanitárias estavam aflitas: só o Instituto Pasteur produzia soro e vacina contra a doença, e ainda pouca quantidade. Não daria conta da crescente procura.
O governo federal decidiu, então, fabricá-lo no Brasil, e para isso criou o Instituto Soroterapico Federal, cuja direção ficou a cargo de um renomado médico, barão de Pedro Afonso. A intenção era contratar um cientista estrangeiro para diretor técnico. Mas a solução estava mais perto do que imaginavam. Consultaram o Instituto Pasteur, que recomendou, adivinhem, o brasileiro Oswaldo Cruz!
A relação do jovem cientista com o novo chefe não era nada boa. As desavenças eram frequentes e a situação ficou incontrolável. Ambos foram afastados do instituto, mas, em 1902, Oswaldo Cruz voltou. Tornou--se diretor geral e, dois anos mais tarde, passou a ocupar também o cargo que corresponderia, hoje, ao de ministro da Saúde.  para combater as doenças que se disseminavam no Rio de Janeiro, ele tomou medidas polêmicas, como a que tornou obrigatória a vacinação. 
",1
" O Curiosity analisara a composição de rochas no planeta vermelho para verificar se eleja teve ou pode ter condições para a vida, Na terça-feira, os russos enviarão uma missão chamada Phobos-Grunt para Fobos, uma das luas marcianas. A ideia é trazer material para análise na Terra. O presidente americano Barack Obama afirmou, no ano passado, que os EUA pretendem enviar uma missão tripulada para a órbita de Marte - e depois, para o solo do planeta - por volta do ano 2030. ""Os gafanhotos são citados na Bíblia, no capítulo 10 do Êxodo, como uma das dez pragas enviadas ao Egito como represália ao faraó, que se recusava a libertar o povo hebreu. Desde os tempos em que se imputavam todas as catástrofes à ira divina, portanto, a humanidade convive com esses insetos predadores, que se deslocam em enxames capazes de encobrir a luz do sol e de destruir uma plantação em minutos. Nas últimas semanas, vários países do noroeste da África voltaram a sofrer com eles, no pior ataque desde o final da década de 80. Os insetos já devastaram plantações na Argélia, Líbia, Marrocos e Tunísia. Mais recentemente, chegaram à Mauritânia (inclusive à capital, Nuakchott), norte do Senegal. Mali. Nigéria, Chade e Burkina Fasso. ""Pelo menos 80% da nossa colheita foi afetada e 800 000 pessoas vão passar fome"", prevê Mohamed Lemine, dirigente da Federação Nacional de Agricultura da Mauritânia. O noroeste da África sempre teve problemas com gafanhotos, mas a praga permaneceu sob controle na última década No ano passado, após anos de seca, choveu mais na região que o habitual. O fenômeno melhorou a produção das lavouras, mas, ao mesmo tempo, contribuiu para a proliferação dos insetos."" Você sabe que uma das formas de fazer descrições detalhadas no texto e acrescentar adjetivos ou locuções adjetivas aos substantivos. Entretanto, esses termos e expressões não são empregados somente em descrições. Adjetivos e locuções adjetivas são usados também para delimitar ou determinar o sentido do substantivo. Nas páginas abaixo, reproduzidas de um livro de receitas culinárias, o texto tem a intenção de definir para os usuários da língua portuguesa cada um dos ingredientes necessários ao preparo de um prato típico da cozinha japonesa, o sushi. Para dar ao leitor uma definição bastante precisa, o nome do ingrediente é especificado por adjetivos e locuções adjetivas e vem acompanhado do nome correspondente na língua japonesa. ",2
