text,level
" Aos nove anos, o norte-americano faz performances de balé, jazz, dança lírica e contemporânea com o rigor e a perfeição de um bailarino de longa carreira",1
" A diferença está na experiência: Gavin começou a dançar há apenas dois anos e, só nesse período, já ganhou cinco competições nacionais nos Estados Unidos, onde os concursos de dança mirins são tradição",1
" ""Gosto de todos os estilos, mas meu preferido é a dança contemporânea, pois me deixa livre para improvisar"", conta Gavin à ""Folhinha"" (leia mais abaixo)",1
" O pai, Scott Morales, diz que o garoto começou a dançar inspirado na irmã: ""Ele via a McKenzie praticando uma coreografia e queria imitá-la para entrar na brincadeira",1
" Não podíamos imaginar que nossos filhos teriam tanto talento""",1
 McKenzie tem 11 anos e dança desde os seis,1
 Ela já venceu três competições nacionais,1
" Entre os Morales, de Fresno (cidade de aproximadamente 500 mil habitantes, na Califórnia), a vocação para a dança nasceu mesmo dos irmãos: ninguém na família é artista",1
" O pai é vendedor e a mãe, advogada",1
" Vendo a paixão dos filhos, eles resolveram matriculá-los numa escola de dança, onde os dois treinam quatro horas todos os dias, exceto nos domingos",1
" ""As crianças querem treinar ainda mais e, para isso, estão insistindo para sair da escola e estudar em casa",1
" Minha mulher e eu ainda não decidimos"", diz Scott",1
" Educar os filhos dentro de casa não é proibido nos Estados Unidos, mas ainda causa polêmica, pelo risco de reduzir a convivência com outras crianças",1
" No Brasil, é obrigatório frequentar a escola",1
" ﻿Você já viu a emoção de receber uma carta de seu escritor favorito? Pois imagine manter uma correspondência de anos com ele, e, mais do que isso, também se tornar amigo, com direito a receber telefonemas no dia de seu aniversário",1
 Foi assim que aconteceu com dezenas de leitores do escritor Monteiro Lobato,1
 Alguém aí já ouviu falar nele?,1
" Um burburinho de línguas, sotaques e mímicas, Lado a lado, criadores de 22 países, incluindo c Brasil, apresentaram suas criaturas",2
" Eram, ao todo",2
" 350 projetos, entre engenhocas e pesquisas das mais diversas áreas do conhecimento humano",2
" Por trás do deslumbre com o divertido ""intercâmbio cultural"", dedos cruzados nas costas para conquistar um dos maiores prémios da Mostratec uma vaga na Isef, nos EUA, a feira dos sonhos de qualquer inventor",2
" Ali, meses de estudo e dedicação eram colocados finalmente, à prova por uma equipe de avaliadores",2
